epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,723.506,1.60184,1.72487,1.43763,0.47659,0.51471,0.46516,0.21611,1.72528,1.95472,1.64696,0.0017228,0.0017228,0.0017228
44,740.142,1.68879,1.7844,1.48401,0.41034,0.44853,0.34968,0.16186,1.76336,2.24382,1.67313,0.0017162,0.0017162,0.0017162
45,756.255,1.6006,1.69418,1.42001,0.51881,0.48529,0.48392,0.22301,1.75021,1.91682,1.5701,0.0017096,0.0017096,0.0017096
46,773.134,1.61598,1.69576,1.42444,0.65986,0.5,0.57476,0.27395,1.69219,1.67948,1.53336,0.001703,0.001703,0.001703
47,790.076,1.64337,1.73563,1.47694,0.53331,0.35294,0.36047,0.16332,1.87599,2.5991,1.69789,0.0016964,0.0016964,0.0016964
48,806.88,1.62063,1.6979,1.45985,0.50078,0.55882,0.5502,0.25929,1.68115,1.74458,1.54929,0.0016898,0.0016898,0.0016898
49,823.947,1.60054,1.72997,1.43017,0.3706,0.37868,0.3076,0.12736,1.94289,2.29045,1.66084,0.0016832,0.0016832,0.0016832
50,840.154,1.58457,1.70891,1.4065,0.64825,0.54882,0.57417,0.27115,1.66212,1.71813,1.53838,0.0016766,0.0016766,0.0016766
51,861.137,1.60219,1.68222,1.41031,0.65451,0.45221,0.50048,0.24977,1.69374,1.94638,1.55045,0.00167,0.00167,0.00167
52,881.827,1.58015,1.69404,1.39466,0.57009,0.43015,0.45075,0.22038,1.6792,1.96503,1.55333,0.0016634,0.0016634,0.0016634
53,898.284,1.59406,1.68584,1.40892,0.55422,0.55306,0.54631,0.26134,1.6059,1.69602,1.48672,0.0016568,0.0016568,0.0016568
54,915.639,1.55527,1.62776,1.38459,0.5448,0.48529,0.40746,0.18877,1.79769,1.94298,1.60054,0.0016502,0.0016502,0.0016502
55,933.267,1.56135,1.71548,1.3876,0.59636,0.56618,0.56476,0.27348,1.70425,1.73417,1.50979,0.0016436,0.0016436,0.0016436
56,949.83,1.58813,1.65935,1.41982,0.57262,0.58456,0.54802,0.26456,1.62997,1.83021,1.51404,0.001637,0.001637,0.001637
57,967.227,1.58567,1.66063,1.40649,0.63948,0.54778,0.58419,0.27839,1.69077,1.60332,1.54926,0.0016304,0.0016304,0.0016304
58,987.937,1.56041,1.59458,1.38901,0.57604,0.61942,0.57764,0.25263,1.77137,1.69806,1.544,0.0016238,0.0016238,0.0016238
59,1005.3,1.56818,1.63176,1.39161,0.54839,0.56985,0.55536,0.24987,1.77631,1.9328,1.58561,0.0016172,0.0016172,0.0016172
60,1021.78,1.55502,1.6021,1.38084,0.49675,0.53708,0.48389,0.23895,1.79975,1.76725,1.65168,0.0016106,0.0016106,0.0016106
61,1038.43,1.51728,1.58309,1.35787,0.58982,0.52866,0.55904,0.28259,1.68966,1.64421,1.54829,0.001604,0.001604,0.001604
62,1055.54,1.52663,1.59456,1.37405,0.62324,0.60294,0.57602,0.28302,1.66889,1.66157,1.52033,0.0015974,0.0015974,0.0015974
63,1073.85,1.57118,1.60589,1.39332,0.64419,0.60662,0.63109,0.29123,1.67395,1.74182,1.53679,0.0015908,0.0015908,0.0015908
64,1090.84,1.53343,1.59403,1.36665,0.54417,0.60662,0.55999,0.26926,1.68632,1.69549,1.51894,0.0015842,0.0015842,0.0015842
65,1106.88,1.53341,1.61643,1.37065,0.63812,0.60662,0.6379,0.3153,1.63242,1.60183,1.46078,0.0015776,0.0015776,0.0015776
66,1122.83,1.5174,1.57691,1.36383,0.469,0.49265,0.41729,0.18245,1.82969,1.92364,1.61049,0.001571,0.001571,0.001571
67,1139.15,1.51333,1.54167,1.34193,0.5514,0.61029,0.55802,0.28298,1.65285,1.64525,1.50296,0.0015644,0.0015644,0.0015644
68,1154.8,1.53531,1.53758,1.37142,0.47598,0.44853,0.41432,0.18221,1.98945,1.99299,1.71609,0.0015578,0.0015578,0.0015578
69,1170.62,1.50597,1.56838,1.34333,0.41047,0.53676,0.39932,0.17897,1.80028,1.96006,1.5596,0.0015512,0.0015512,0.0015512
